Datetime,Symbol,Buy Price,Sell Price,Profit
"Ticker
    2025-04-17 16:28:00+00:00
Name: 165, dtype: object",AAPL,"Ticker
AAPL    197.670105
Name: 164, dtype: object","Ticker
AAPL    197.774994
Name: 165, dtype: object","Ticker
AAPL    0.104889
dtype: object"
"Ticker
    2025-04-17 16:29:00+00:00
Name: 166, dtype: object",AAPL,"Ticker
AAPL    197.774994
Name: 165, dtype: object","Ticker
AAPL    197.804993
Name: 166, dtype: object","Ticker
AAPL    0.029999
dtype: object"
"Ticker
    2025-04-17 16:31:00+00:00
Name: 168, dtype: object",AAPL,"Ticker
AAPL    197.660004
Name: 167, dtype: object","Ticker
AAPL    197.880005
Name: 168, dtype: object","Ticker
AAPL    0.220001
dtype: object"
"Ticker
    2025-04-17 16:33:00+00:00
Name: 170, dtype: object",AAPL,"Ticker
AAPL    197.664993
Name: 169, dtype: object","Ticker
AAPL    198.050003
Name: 170, dtype: object","Ticker
AAPL    0.38501
dtype: object"
"Ticker
    2025-04-17 16:34:00+00:00
Name: 171, dtype: object",AAPL,"Ticker
AAPL    198.050003
Name: 170, dtype: object","Ticker
AAPL    198.054703
Name: 171, dtype: object","Ticker
AAPL    0.0047
dtype: object"
"Ticker
    2025-04-17 16:35:00+00:00
Name: 172, dtype: object",AAPL,"Ticker
AAPL    198.054703
Name: 171, dtype: object","Ticker
AAPL    198.195007
Name: 172, dtype: object","Ticker
AAPL    0.140305
dtype: object"
"Ticker
    2025-04-17 16:38:00+00:00
Name: 175, dtype: object",AAPL,"Ticker
AAPL    197.865005
Name: 174, dtype: object","Ticker
AAPL    197.899994
Name: 175, dtype: object","Ticker
AAPL    0.034988
dtype: object"
"Ticker
    2025-04-17 16:40:00+00:00
Name: 177, dtype: object",AAPL,"Ticker
AAPL    197.779999
Name: 176, dtype: object","Ticker
AAPL    197.826599
Name: 177, dtype: object","Ticker
AAPL    0.0466
dtype: object"
"Ticker
    2025-04-17 16:41:00+00:00
Name: 178, dtype: object",AAPL,"Ticker
AAPL    197.826599
Name: 177, dtype: object","Ticker
AAPL    197.839996
Name: 178, dtype: object","Ticker
AAPL    0.013397
dtype: object"
"Ticker
    2025-04-17 16:46:00+00:00
Name: 183, dtype: object",AAPL,"Ticker
AAPL    197.205505
Name: 182, dtype: object","Ticker
AAPL    197.669998
Name: 183, dtype: object","Ticker
AAPL    0.464493
dtype: object"
"Ticker
    2025-04-17 16:49:00+00:00
Name: 186, dtype: object",AAPL,"Ticker
AAPL    197.449997
Name: 185, dtype: object","Ticker
AAPL    197.729996
Name: 186, dtype: object","Ticker
AAPL    0.279999
dtype: object"
"Ticker
    2025-04-17 16:50:00+00:00
Name: 187, dtype: object",AAPL,"Ticker
AAPL    197.729996
Name: 186, dtype: object","Ticker
AAPL    198.035294
Name: 187, dtype: object","Ticker
AAPL    0.305298
dtype: object"
"Ticker
    2025-04-17 16:52:00+00:00
Name: 189, dtype: object",AAPL,"Ticker
AAPL    197.887604
Name: 188, dtype: object","Ticker
AAPL    198.301498
Name: 189, dtype: object","Ticker
AAPL    0.413895
dtype: object"
"Ticker
    2025-04-17 16:55:00+00:00
Name: 192, dtype: object",AAPL,"Ticker
AAPL    198.235001
Name: 191, dtype: object","Ticker
AAPL    198.324997
Name: 192, dtype: object","Ticker
AAPL    0.089996
dtype: object"
"Ticker
    2025-04-17 16:56:00+00:00
Name: 193, dtype: object",AAPL,"Ticker
AAPL    198.324997
Name: 192, dtype: object","Ticker
AAPL    198.369995
Name: 193, dtype: object","Ticker
AAPL    0.044998
dtype: object"
"Ticker
    2025-04-17 16:58:00+00:00
Name: 195, dtype: object",AAPL,"Ticker
AAPL    198.214996
Name: 194, dtype: object","Ticker
AAPL    198.345001
Name: 195, dtype: object","Ticker
AAPL    0.130005
dtype: object"
"Ticker
    2025-04-17 17:00:00+00:00
Name: 197, dtype: object",AAPL,"Ticker
AAPL    198.169998
Name: 196, dtype: object","Ticker
AAPL    198.25
Name: 197, dtype: object","Ticker
AAPL    0.080002
dtype: object"
"Ticker
    2025-04-17 17:01:00+00:00
Name: 198, dtype: object",AAPL,"Ticker
AAPL    198.25
Name: 197, dtype: object","Ticker
AAPL    198.309998
Name: 198, dtype: object","Ticker
AAPL    0.059998
dtype: object"
"Ticker
    2025-04-17 17:07:00+00:00
Name: 204, dtype: object",AAPL,"Ticker
AAPL    197.649994
Name: 203, dtype: object","Ticker
AAPL    197.809998
Name: 204, dtype: object","Ticker
AAPL    0.160004
dtype: object"
"Ticker
    2025-04-17 17:08:00+00:00
Name: 205, dtype: object",AAPL,"Ticker
AAPL    197.809998
Name: 204, dtype: object","Ticker
AAPL    197.899994
Name: 205, dtype: object","Ticker
AAPL    0.089996
dtype: object"
"Ticker
    2025-04-17 17:13:00+00:00
Name: 210, dtype: object",AAPL,"Ticker
AAPL    197.360001
Name: 209, dtype: object","Ticker
AAPL    197.485001
Name: 210, dtype: object","Ticker
AAPL    0.125
dtype: object"
"Ticker
    2025-04-17 17:15:00+00:00
Name: 212, dtype: object",AAPL,"Ticker
AAPL    197.315002
Name: 211, dtype: object","Ticker
AAPL    197.399994
Name: 212, dtype: object","Ticker
AAPL    0.084991
dtype: object"
"Ticker
    2025-04-17 17:21:00+00:00
Name: 218, dtype: object",AAPL,"Ticker
AAPL    196.869995
Name: 217, dtype: object","Ticker
AAPL    196.872696
Name: 218, dtype: object","Ticker
AAPL    0.002701
dtype: object"
"Ticker
    2025-04-17 17:24:00+00:00
Name: 221, dtype: object",AAPL,"Ticker
AAPL    196.774994
Name: 220, dtype: object","Ticker
AAPL    196.824997
Name: 221, dtype: object","Ticker
AAPL    0.050003
dtype: object"
"Ticker
    2025-04-17 17:25:00+00:00
Name: 222, dtype: object",AAPL,"Ticker
AAPL    196.824997
Name: 221, dtype: object","Ticker
AAPL    196.997498
Name: 222, dtype: object","Ticker
AAPL    0.172501
dtype: object"
"Ticker
    2025-04-17 17:27:00+00:00
Name: 224, dtype: object",AAPL,"Ticker
AAPL    196.770004
Name: 223, dtype: object","Ticker
AAPL    197.007797
Name: 224, dtype: object","Ticker
AAPL    0.237793
dtype: object"
"Ticker
    2025-04-17 17:30:00+00:00
Name: 227, dtype: object",AAPL,"Ticker
AAPL    196.699997
Name: 226, dtype: object","Ticker
AAPL    196.770004
Name: 227, dtype: object","Ticker
AAPL    0.070007
dtype: object"
"Ticker
    2025-04-17 17:31:00+00:00
Name: 228, dtype: object",AAPL,"Ticker
AAPL    196.770004
Name: 227, dtype: object","Ticker
AAPL    197.0
Name: 228, dtype: object","Ticker
AAPL    0.229996
dtype: object"
